match_id,avg_elo,winner,diff_villagers_snapshot,diff_apm,diff_queues,diff_builds,diff_orders
122133738,1235.5,1,-7,-26.4,-8,3,-7
128507843,1095.5,1,-15,-7.9,-25,3,48
140509730,1076.5,0,-10,-3.75,-3,-8,42
96382073,1084,0,-9,-46.3,2,-6,-84
54406356,1498.5,1,-4,-39.25,0,-12,-48
63200147,1006.5,1,9,-16,7,-2,34
115766711,966.5,1,-16,-10.6,-21,-6,-28
90528122,989.5,0,-13,5.15,-10,-13,18
91624974,932.5,0,4,33.35,5,13,54
92474255,1874,1,-5,-22.05,16,6,-10
136421898,1071,0,20,-22.05,15,5,10
118302453,1357,0,2,-7.1,15,0,-55
62628480,942.5,0,5,10.8,-9,-14,-3
67674068,1126,0,2,-15.8,-8,-10,-36
77296620,1053,0,-18,-2.9,-19,-4,29
103118503,961.5,1,-6,-6.55,-8,-14,-7
114618687,1112.5,0,15,-16.15,22,3,-46
59567556,1262,1,9,-12.2,30,-4,35
88197675,982,0,-5,-3.15,-5,-4,12
111529930,967,0,16,-13.05,33,16,-4
54890884,1046,1,1,-5.35,-9,-1,36
91304083,942,0,21,14.7,25,4,30
64319773,1141,0,9,-9,8,15,-14
68751888,1256,1,-10,-27.75,-38,3,-74
70249204,1054,0,-4,-1.7,0,-12,-20
87341272,1124,1,-2,-36.6,-14,0,-51
109894440,1132.5,1,9,2.25,-1,-4,7
73426817,1217.5,1,-74,-7.85,-72,1,-33
133812621,1471,0,0,7.9,-7,-5,43
111977660,1017,1,-6,-23.05,-18,9,-49
109182548,1072.5,0,-18,-9.35,-12,-7,19
106244095,1289.5,1,11,-17.85,15,-3,-42
141474074,1469,0,-9,-5.5,-9,2,-4
57241667,1197.5,0,-2,-13.65,2,-3,-12
65285255,922,1,8,-1.25,2,2,11
114087616,1350,1,-10,-19.45,-9,0,-26
97472598,1207,1,-6,3.3,-2,-12,-20
87872089,1060,1,-26,-37.9,-31,-10,-53
68853227,929,1,-35,8,-38,18,15
63499800,1026.5,0,10,-19.15,25,12,2
130431997,1201,1,-12,-29.7,-25,1,-39
98446958,1034.5,1,-1,2.15,2,5,7
63794202,1058,0,12,8.65,15,2,-1
72938498,1139.5,1,6,16.45,-6,17,3
52450297,963,1,1,-10.35,-2,-10,-5
131699617,928,0,-1,7.15,-3,5,5
129546020,1621,0,-1,-22,5,2,17
103244895,1273,1,8,-19.5,6,6,-29
65584864,1173.5,0,4,-27.9,17,8,24
73489984,1029.5,1,-16,27.5,4,-12,112
62975767,1074.5,0,0,-14.85,-5,-6,-11
111554651,1881.5,0,16,5.75,18,1,27
92856450,1046,0,-2,-14.15,2,0,-9
78990114,1178,1,-9,3.2,-3,5,26
129620911,1651.5,1,-6,-21.6,6,-19,-14
69468920,1098,1,2,11.85,-2,-1,13
82691693,1119,0,-3,8.05,-4,10,41
124522644,1191.5,1,13,-32.55,16,6,-16
133173323,1056.5,1,5,-6.1,1,2,-71
69322604,1174,1,-19,-48.45,-29,-16,-26
130508436,1302,0,-5,-11.25,-12,0,-5
135739823,1511,0,-8,-10.6,8,0,42
83394414,972.5,0,11,0,11,-1,13
50907860,1200,0,5,-13.05,-5,-1,-19
63287677,977.5,0,16,5.8,16,16,29
74703183,936.5,1,7,3.7,18,-4,10
58467175,1111.5,1,1,8.05,3,5,9
63796116,997.5,1,-4,-14.4,-6,-16,-24
53577322,942,1,4,-10.9,-5,21,-12
125560884,1096,1,-3,-21.85,-15,-11,15
130487336,1001.5,1,-13,-25.1,-18,-11,-11
50309605,1028,1,-7,4.85,10,-1,-16
55921951,956.5,1,-8,-0.6,-5,-3,-19
76704987,1105.5,1,13,6.85,33,-11,14
89227632,1345,1,4,-6.75,1,-13,6
131826016,1000.5,1,-7,0.15,-2,-8,15
82278707,1476.5,0,-2,20.7,11,6,42
141404418,946,1,-9,-10.05,-4,-5,-7
65799023,1389,1,7,-15.6,-2,-4,-67
134461451,1031.5,0,6,-23.4,6,21,-9
127258909,1051.5,0,-2,10.15,17,-6,-14
70945433,968,1,11,5.85,26,-19,21
71244793,1028.5,0,17,15,8,18,2
135872193,1168.5,0,7,-19.05,-4,4,30
99406631,1402,1,1,-10.5,-7,6,60
124452995,1216,0,-20,9.85,-19,-9,23
124829620,1027.5,1,-15,-2.15,-15,-11,-4
106452458,1098,1,-25,-18.35,-38,-12,-30
104804611,906,1,8,-40.35,13,4,-16
71443538,959,0,0,1.1,1,-8,5
54517224,1086.5,0,-2,-27.15,-13,-6,-40
57385956,984.5,1,0,-4.85,5,12,-6
119089036,1253.5,1,-9,-4.55,-5,-12,11
101347764,1290.5,0,12,3.5,0,5,42
92634868,1453.5,1,-10,-10.8,-4,-10,43
62966484,1639,0,3,16.95,7,0,36
133058501,1788,0,-4,-28.15,-9,21,16
97766587,1063.5,0,5,-1.9,-2,5,-3
93940794,1051.5,1,-8,11.25,-7,-1,43
137933947,1155,0,-1,-17.6,-2,2,30
117735978,933.5,0,-4,8.2,-3,2,-1
131857575,1655.5,1,-11,7.15,-4,-8,68
102240591,955.5,1,0,3.5,-4,-17,21
67990156,972,1,4,-21.95,8,2,9
141131275,1056,1,15,0.1,8,11,-30
106509884,1106.5,1,3,23.75,-3,-14,94
101216845,958,0,-6,-2.35,-7,-2,-14
111808614,1114.5,0,16,10.9,17,11,45
103432420,944.5,0,10,-5.75,11,2,-9
111330498,1390.5,1,6,-20.95,0,-6,-5
124027295,1364,0,13,-10,9,13,5
126738497,1057.5,0,-5,3.45,-8,-5,-7
111551448,1286,0,-13,-6.9,22,2,1
114249051,1553,1,5,-0.35,15,3,29
105800181,1243.5,1,-1,-4.35,6,-16,42
64213829,1461,0,6,40.8,6,-11,96
56548561,1020.5,0,-8,-6.95,5,13,15
84914729,910,1,-9,-0.25,-5,-5,3
75188559,922,1,4,0.5,9,-13,19
65167695,946.5,1,-2,-9.25,-10,2,-33
100046759,931,1,-9,-20.75,-18,-2,48
113469108,1063,0,-5,-5.1,-5,6,-8
72571501,971,0,-6,-5.45,0,6,71
122958339,1188,1,-6,-43.05,-4,-1,-38
55944922,1105,1,-4,1.4,-10,-12,54
58873104,1897.5,0,-11,-14.5,-20,-9,-7
74750297,960.5,0,19,-7.45,21,15,-5
111093021,1044,1,-3,-11.6,-9,-5,34
98976406,1084.5,0,-5,-11.85,-9,7,-46
52976807,1569.5,1,0,-54.9,6,-10,-100
64669028,1525,1,-8,-6.5,-16,-4,2
57406307,1079.5,1,2,7.85,4,0,-1
100960203,1376.5,1,5,-20.05,11,-2,-42
70682568,952,0,-10,-1,13,5,-9
79729618,969.5,0,-6,-20.55,-8,5,5
111256111,1231,1,-7,-0.25,-9,7,15
108365698,1549.5,0,-8,-50.15,3,5,-67
102859369,1224.5,0,-4,4.45,-14,-4,33
58938621,1449,0,-2,-0.4,3,2,97
122826895,1008.5,1,-2,-35.15,-6,-5,-20
99938573,946,1,-1,5.75,0,-14,-1
100657864,1390.5,0,-15,-20.15,-26,8,-122
124149949,1354,0,-10,-5.85,11,-5,48
117370114,1059,0,8,-28.6,12,2,-5
62955535,993,0,12,5.4,-1,8,37
86642862,940.5,0,9,-6.95,-1,-22,-7
80535096,1427,0,11,-21.25,7,5,-88
114283782,946.5,1,2,-41.8,-3,-2,6
119936505,1922.5,0,4,-13.75,14,-14,-49
88839435,1185,0,-1,-19.4,3,-4,-50
109190617,1139,0,-5,-17.1,-1,20,14
122604401,1062,1,3,2.1,-12,5,-19
62130056,1003.5,1,5,26.75,12,-1,2
125440059,1118.5,1,12,14.6,12,4,-26
138340793,1194,1,18,-12.7,8,1,-25
120696075,1059.5,1,4,10.25,1,-2,19
112268153,1138.5,1,-2,17.4,1,2,46
57009496,1112.5,1,-5,-15.65,3,-3,-13
119961930,983.5,0,-14,-0.75,-12,2,7
118440301,937,1,7,-23.65,6,-3,-29
87337671,1031,0,3,-47.05,27,4,14
62905087,1310.5,1,-9,7.4,-40,-9,20
50106394,1168.5,0,0,-7.1,10,-5,46
